content,bank,nouns,keywords,vader_compound,tb_polarity,tb_subjectivity,sentiment
so good,CBE Bank,[],['good'],0.4927,0.7,0.6000000000000001,positive
yesisgood,CBE Bank,['yesisgood'],['yesisgood'],0.0,0.0,0.0,neutral
ok,CBE Bank,[],[],0.296,0.5,0.5,positive
smart app,CBE Bank,[],['smart'],0.4019,0.21428571428571427,0.6428571428571429,positive
"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",CBE Bank,"['internet', 'cbebirr', 'internet', 'cbebirr', 'internet', 'cbebirr', 'mobile', 'operations', 'ussd', 'version', 'cbebirr', 'version', 'version', 'cbebirr', 'plus', 'cbebirr+', 'cbe', 'birr', 'cbe', 'birr', 'plus']","['internet', 'based', 'mobile', 'for', 'cbebirr', 'internet', 'based', 'mobile', 'for', 'cbebirr', 'with', 'new', 'internet', 'based', 'cbebirr', 'mobile', 'can', 'make', 'every', 'operations', 'applicable', 'via', 'ussd', 'version', 'cbebirr', 'version', 'latest', 'version', 'branded', 'cbebirr', 'plus', 'cbebirr', 'cbe', 'birr', 'cbe', 'birr', 'plus']",0.0,0.3181818181818182,0.6772727272727272,neutral
fast and time saving...,CBE Bank,"['time', 'saving']","['fast', 'time', 'saving']",0.0,0.2,0.6,neutral
ok,CBE Bank,[],[],0.296,0.5,0.5,positive
CBE it's my excellent choice,CBE Bank,"['cbe', 'choice']","['cbe', 'excellent', 'choice']",0.5719,1.0,1.0,positive
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
There is a a problem when updating the app,CBE Bank,['problem'],"['there', 'problem', 'when', 'updating']",-0.4019,0.0,0.0,negative
excellent service,CBE Bank,['service'],"['excellent', 'service']",0.5719,1.0,1.0,positive
very amazing app,CBE Bank,[],['amazing'],0.624,0.7800000000000001,1.0,positive
this app is so functional for airtime for wallet and,CBE Bank,"['airtime', 'wallet']","['functional', 'for', 'airtime', 'for', 'wallet']",0.0,0.0,0.0,neutral
why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,CBE Bank,"['transaction', 'fee', 'hidden', 'transaction', 'fees', 'show', 'confirmation', 'scam']","['why', 'transaction', 'fee', 'hidden', 'why', 'doesn', 'show', 'some', 'transaction', 'fees', 'before', 'vat', 'show', 'togather', 'before', 'confirmation', 'not', 'after', 'feels', 'like', 'scam']",-0.296,-0.16666666666666666,0.3333333333333333,negative
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
posetive,CBE Bank,['posetive'],['posetive'],0.0,0.0,0.0,neutral
Gal✅😶‍🌫️,CBE Bank,['gal✅😶\u200d🌫️'],['gal'],0.0,0.0,0.0,neutral
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive
best and secured,CBE Bank,[],"['best', 'secured']",0.7845,1.0,0.3,positive
Cbe,CBE Bank,['cbe'],['cbe'],0.0,0.0,0.0,neutral
ok,CBE Bank,[],[],0.296,0.5,0.5,positive
cbe,CBE Bank,['cbe'],['cbe'],0.0,0.0,0.0,neutral
Good to use,CBE Bank,[],"['good', 'use']",0.4404,0.7,0.6000000000000001,positive
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
it's a good application,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
thank you cbe,CBE Bank,['thank'],"['thank', 'cbe']",0.3612,0.0,0.0,positive
is good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",CBE Bank,"['nice', 'transactions', 'history', 'visibility']","['nice', 'can', 'get', 'some', 'recently', 'transactions', 'please', 'try', 'keep', 'all', 'history', 'scrolling', 'full', 'visibility', 'done']",0.5927,0.31666666666666665,0.6,positive
Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,CBE Bank,"['interface', 'history', 'service', 'version', 'visibility', 'contrast', 'idea']","['secure', 'poor', 'interface', 'limited', 'history', 'service', 'new', 'colorful', 'version', 'worst', 'visibility', 'contrast', 'low', 'just', 'idea']",-0.9371,-0.09072356215213359,0.5510575139146567,negative
very nice 100%,CBE Bank,[],"['nice', '100']",0.4754,0.78,1.0,positive
Good application,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
wow,CBE Bank,['wow'],['wow'],0.5859,0.1,1.0,positive
best app for financial sector,CBE Bank,['sector'],"['best', 'for', 'financial', 'sector']",0.6369,0.5,0.15,positive
incredible,CBE Bank,[],['incredible'],0.0,0.9,0.9,neutral
yoroo namaste 🙏 ♥️ ❤️ 💖 💖,CBE Bank,['namaste'],"['yoroo', 'namaste']",0.0,0.0,0.0,neutral
best app for financial activities 🙌,CBE Bank,['activities'],"['best', 'for', 'financial', 'activities']",0.6369,0.5,0.15,positive
formative,CBE Bank,[],['formative'],0.0,0.0,0.0,neutral
nice app,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive
wow,CBE Bank,['wow'],['wow'],0.5859,0.1,1.0,positive
thanks for you 😘,CBE Bank,['thanks'],"['thanks', 'for']",0.4404,0.2,0.2,positive
"this update got crazy i don't know what's going on this app it's mal functional and loading........... like 2G ,Haha",CBE Bank,"['...........', 'haha']","['update', 'got', 'crazy', 'don', 'know', 'what', 'going', 'mal', 'functional', 'loading', 'like', 'haha']",0.4767,-0.19999999999999998,0.6,positive
it's okay,CBE Bank,[],['okay'],0.2263,0.5,0.5,positive
IT'S NOT WORK ON HUAWEI DEVICES,CBE Bank,"['not', 'work', 'huawei', 'devices']","['not', 'work', 'huawei', 'devices']",0.0,0.0,0.0,neutral
It's not allowing me to transfer money.,CBE Bank,['money'],"['not', 'allowing', 'transfer', 'money']",0.0,0.0,0.0,neutral
ok,CBE Bank,[],[],0.296,0.5,0.5,positive
good apps,CBE Bank,['apps'],"['good', 'apps']",0.4404,0.7,0.6000000000000001,positive
this app very full,CBE Bank,[],['full'],0.0,0.45499999999999996,0.7150000000000001,neutral
worst,CBE Bank,[],['worst'],-0.6249,-1.0,1.0,negative
🤙🏼🤙🏼,CBE Bank,['🤙🏼🤙🏼'],[],0.0,0.0,0.0,neutral
Good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
ok,CBE Bank,[],[],0.296,0.5,0.5,positive
"The most backward and unstable financial app in the market. It requires updates in which nothing changes, it is slow snd just an annoying application. Don't install it!",CBE Bank,"['market', 'updates', 'nothing', 'changes', 'snd']","['most', 'backward', 'unstable', 'financial', 'market', 'requires', 'updates', 'which', 'nothing', 'changes', 'slow', 'snd', 'just', 'annoying', 'don', 'install']",-0.6962,-0.2,0.44999999999999996,negative
It stopped working on its own. When you check your balance it does not show the amount before deductions.,CBE Bank,"['balance', 'amount', 'deductions']","['stopped', 'working', 'its', 'own', 'when', 'check', 'your', 'balance', 'does', 'not', 'show', 'amount', 'before', 'deductions']",-0.2263,0.6,1.0,negative
nays,CBE Bank,['nays'],['nays'],0.0,0.0,0.0,neutral
very very good 👍 thanks commercial bank of ethiopia 🤩😘💯,CBE Bank,"['thanks', 'bank', '🤩😘💯']","['good', 'thanks', 'commercial', 'bank', 'ethiopia']",0.7854,0.36999999999999994,0.3266666666666667,positive
so nice,CBE Bank,[],['nice'],0.4754,0.6,1.0,positive
fantastic,CBE Bank,[],['fantastic'],0.5574,0.4,0.9,positive
Please make the CBE Noor toggle to be optional just because I have another account that happened to be CBE Noor it doesn't mean I want to see the moon and mecca. I have to be able to disable it. the toggle doesn't work it changes back everytime it refreshes. it is really annoying,CBE Bank,"['please', 'cbe', 'noor', 'toggle', 'account', 'cbe', 'noor', 'moon', 'mecca', 'toggle']","['please', 'make', 'cbe', 'noor', 'toggle', 'optional', 'just', 'because', 'have', 'another', 'account', 'happened', 'cbe', 'noor', 'doesn', 'mean', 'want', 'see', 'moon', 'mecca', 'have', 'able', 'disable', 'toggle', 'doesn', 'work', 'changes', 'back', 'everytime', 'refreshes', 'really', 'annoying']",-0.2299,-0.153125,0.553125,negative
f*k,CBE Bank,[],[],0.0,0.0,0.0,neutral
The Bank You can Always Rely on!,CBE Bank,['bank'],"['bank', 'can', 'always', 'rely']",0.0,0.0,0.0,neutral
Amazing App,CBE Bank,['amazing'],['amazing'],0.5859,0.6000000000000001,0.9,positive
very nice,CBE Bank,[],['nice'],0.4754,0.78,1.0,positive
svabst keessatti argamu yoo ta'u yeroo ammaa kanas namoonni Finfinneerraa damee barnootaa isa keessatti argamu yoo ta'uu kan danda'u kan ujummoo Hala keessatti uummata Oromoo kan ujummoo dhiigaa ni jabeessa malee duuba akkan qabu natti kan ujummoo dhiigaa ni dabalu kan raawwatame yoo ta'u kan ujummoo dhiigaa ni jabeessa ta'e fudhachuuf ru kan ujummoo Hala app yoo ta'u kan akka hin taane kan akka baakteeriyaa irraa kan ujummoo Hala kan ujummoo dhiigaa ni,CBE Bank,"['svabst', 'keessatti', 'yeroo', 'ammaa', 'kanas', 'finfinneerraa', 'damee', 'barnootaa', 'isa', 'yoo', ""ta'uu"", 'danda', 'kan', 'hala', 'keessatti', 'uummata', 'oromoo', 'kan', 'dhiigaa', 'jabeessa', 'malee', 'duuba', 'qabu', 'natti', 'dhiigaa', 'dabalu', 'kan', 'raawwatame', 'yoo', 'kan', 'dhiigaa', 'jabeessa', 'fudhachuuf', 'hala', 'yoo', 'kan', 'akka', 'taane', 'kan', 'akka', 'baakteeriyaa', 'irraa', 'kan', 'hala', 'kan', 'dhiigaa']","['svabst', 'keessatti', 'argamu', 'yoo', 'yeroo', 'ammaa', 'kanas', 'namoonni', 'finfinneerraa', 'damee', 'barnootaa', 'isa', 'keessatti', 'argamu', 'yoo', 'kan', 'danda', 'kan', 'ujummoo', 'hala', 'keessatti', 'uummata', 'oromoo', 'kan', 'ujummoo', 'dhiigaa', 'jabeessa', 'malee', 'duuba', 'akkan', 'qabu', 'natti', 'kan', 'ujummoo', 'dhiigaa', 'dabalu', 'kan', 'raawwatame', 'yoo', 'kan', 'ujummoo', 'dhiigaa', 'jabeessa', 'fudhachuuf', 'kan', 'ujummoo', 'hala', 'yoo', 'kan', 'akka', 'hin', 'taane', 'kan', 'akka', 'baakteeriyaa', 'irraa', 'kan', 'ujummoo', 'hala', 'kan', 'ujummoo', 'dhiigaa']",0.0,0.0,0.0,neutral
በጣም ጥሩ ነው እነማሰግነለን,CBE Bank,['እነማሰግነለን'],['እነማሰግነለን'],0.0,0.0,0.0,neutral
What an excellent app with smooth performance !!,CBE Bank,['performance'],"['what', 'excellent', 'with', 'smooth', 'performance']",0.6467,0.8125,0.75,positive
pels,CBE Bank,['pels'],['pels'],0.0,0.0,0.0,neutral
fantastic,BOA Bank,[],['fantastic'],0.5574,0.4,0.9,positive
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",BOA Bank,"['developer', 'mode', 'developer', 'options', '.....']","['uninterested', 'not', 'working', 'when', 'developer', 'mode', 'haven', 'off', 'developer', 'options', 'preferred', 'uninstall', 'your']",0.0,0.2,0.3,neutral
goof,BOA Bank,['goof'],['goof'],0.0,0.0,0.0,neutral
good App fore me,BOA Bank,['fore'],"['good', 'fore']",0.4404,0.7,0.6000000000000001,positive
amazing Banks App👌👌,BOA Bank,"['banks', 'app👌👌']","['amazing', 'banks']",0.5859,0.6000000000000001,0.9,positive
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",BOA Bank,"['mba', 'crush', 'problem', 'week']","['worst', 'mba', 'have', 'experienced', 'crush', 'frequently', 'take', 'long', 'fix', 'problem', 'even', 'more', 'than', 'week']",-0.8126,0.07,0.6199999999999999,negative
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,BOA Bank,"['easy', 'previouse', 'time', 'loading', 'problem']","['easy', 'nice', 'load', 'more', 'than', 'previouse', 'recent', 'time', 'some', 'loading', 'problem', 'detected']",-0.1415,0.42833333333333334,0.6458333333333334,negative
wow,BOA Bank,['wow'],['wow'],0.5859,0.1,1.0,positive
😎,BOA Bank,[],[],0.0,0.0,0.0,neutral
it sucks as hell. it crashes most of the time and takes a long time to load .,BOA Bank,"['hell', 'time', 'time', 'load']","['sucks', 'hell', 'crashes', 'most', 'time', 'takes', 'long', 'time', 'load']",-0.7964,0.05000000000000001,0.4000000000000001,negative
awasome app go a head,BOA Bank,"['awasome', 'head']","['awasome', 'head']",0.0,0.0,0.0,neutral
nice,BOA Bank,[],['nice'],0.4215,0.6,1.0,positive
meku,BOA Bank,['meku'],['meku'],0.0,0.0,0.0,neutral
Best app,BOA Bank,[],['best'],0.6369,1.0,0.3,positive
nice,BOA Bank,[],['nice'],0.4215,0.6,1.0,positive
ምርጥ ነው,BOA Bank,['ምርጥ'],['ምርጥ'],0.0,0.0,0.0,neutral
This App is Getting worse and worse with every update,BOA Bank,['update'],"['getting', 'worse', 'worse', 'with', 'every', 'update']",-0.7351,-0.4,0.6,negative
not working,BOA Bank,[],"['not', 'working']",0.0,0.0,0.0,neutral
Okay,BOA Bank,['okay'],['okay'],0.2263,0.5,0.5,positive
Good,BOA Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
Great BoA,BOA Bank,"['great', 'boa']","['great', 'boa']",0.6249,0.8,0.75,positive
excellent,BOA Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive
☹️,BOA Bank,[],[],0.0,0.0,0.0,neutral
good work,BOA Bank,['work'],"['good', 'work']",0.4404,0.7,0.6000000000000001,positive
excellent app,BOA Bank,[],['excellent'],0.5719,1.0,1.0,positive
👍👍👍,BOA Bank,['👍👍👍'],[],0.0,0.0,0.0,neutral
no proplem,BOA Bank,['proplem'],['proplem'],-0.296,0.0,0.0,negative
😇,BOA Bank,[],[],0.0,0.0,0.0,neutral
I can log in from any where,BOA Bank,[],"['can', 'log', 'from', 'any', 'where']",0.0,0.0,0.0,neutral
nothing when I need to install the Apk it say that re-up date,BOA Bank,"['nothing', 'apk', 'date']","['nothing', 'when', 'need', 'install', 'apk', 'say', 'date']",0.0,0.0,0.0,neutral
please is not working,BOA Bank,['please'],"['please', 'not', 'working']",0.3182,0.0,0.0,positive
waqayyoo,BOA Bank,['waqayyoo'],['waqayyoo'],0.0,0.0,0.0,neutral
best bank in ethiopia,BOA Bank,"['bank', 'ethiopia']","['best', 'bank', 'ethiopia']",0.6369,1.0,0.3,positive
giod,BOA Bank,['giod'],['giod'],0.0,0.0,0.0,neutral
The Worst Mobile Banking App.,BOA Bank,"['worst', 'mobile', 'banking']","['worst', 'mobile', 'banking']",-0.6249,-1.0,1.0,negative
ረጀብነሱ,BOA Bank,['ረጀብነሱ'],['ረጀብነሱ'],0.0,0.0,0.0,neutral
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,BOA Bank,"['crashes', 'takes', 'century', 'boot', 'update', 'password', 'step', 'confirmation', 'money', 'music', 'banking', 'bugs', 'issues']","['crashes', 'repeatedly', 'takes', 'century', 'boot', 'repeatedly', 'requires', 'update', 'which', 'annoying', 'doesn', 'ask', 'for', 'password', 'for', 'one', 'step', 'confirmation', 'when', 'transferring', 'money', 'automatically', 'stops', 'music', 'when', 'launched', 'doesn', 'really', 'matter', 'just', 'fyi', 'overall', 'have', 'worst', 'mobile', 'banking', 'have', 'tried', 'far', 'should', 'not', 'released', 'with', 'all', 'these', 'bugs', 'issues']",-0.8168,-0.33999999999999997,0.64,negative
Great App,BOA Bank,['great'],['great'],0.6249,0.8,0.75,positive
yes goode app,BOA Bank,['goode'],"['yes', 'goode']",0.4019,0.0,0.0,positive
good,BOA Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
it is not working on redminote 11 pro+ pls fix it,BOA Bank,"['redminote', 'pro+', 'pls', 'fix']","['not', 'working', 'redminote', 'pro', 'pls', 'fix']",0.0772,0.0,0.0,positive
abseniya bank app,BOA Bank,['bank'],"['abseniya', 'bank']",0.0,0.0,0.0,neutral
keeps freezing at the front page.,BOA Bank,"['keeps', 'page']","['keeps', 'freezing', 'front', 'page']",-0.1027,0.0,0.0,negative
not fast,BOA Bank,[],"['not', 'fast']",0.0,-0.1,0.6,neutral
Best mobile app in the country,BOA Bank,"['best', 'mobile', 'country']","['best', 'mobile', 'country']",0.6369,1.0,0.3,positive
thank you,BOA Bank,['thank'],['thank'],0.3612,0.0,0.0,positive
the worst app ever to exist in a bank history,BOA Bank,"['bank', 'history']","['worst', 'ever', 'exist', 'bank', 'history']",-0.6249,-1.0,1.0,negative
best apps,BOA Bank,['apps'],"['best', 'apps']",0.6369,1.0,0.3,positive
"it almost never boots up!!! and even if it did, it crashes immediately",BOA Bank,[],"['almost', 'never', 'boots', 'even', 'did', 'crashes', 'immediately']",0.0,0.0,0.0,neutral
very nice mobile banking app my favourite,BOA Bank,"['mobile', 'banking', 'favourite']","['nice', 'mobile', 'banking', 'favourite']",0.4754,0.78,1.0,positive
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",BOA Bank,"['bank', 'someone', 'good', 'job', 'joke', 'review', 'boa', 'update', 'suggestion', 'password', 'step', 'money', 'secure', 'way']","['bank', 'should', 'least', 'hire', 'someone', 'good', 'their', 'job', 'joke', 'nowadays', 'can', 'even', 'log', 'even', 'transfer', 'without', 'crashing', 'fix', 'will', 'update', 'review', 'counting', 'boa', 'update', 'atleast', 'fixed', 'suggestion', 'can', 'put', 'password', 'when', 'final', 'step', 'sending', 'money', 'will', 'feel', 'more', 'secure', 'way']",0.7383,0.2333333333333333,0.55,positive
unlimited experience,BOA Bank,['experience'],"['unlimited', 'experience']",0.0,0.0,0.0,neutral
besat🥰,BOA Bank,['besat🥰'],['besat'],0.0,0.0,0.0,neutral
Excellent,BOA Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive
One of the best in this business,BOA Bank,['business'],"['one', 'best', 'business']",0.6369,1.0,0.3,positive
has issue after installation and i think it doesn't work with tecno common 30,BOA Bank,"['issue', 'installation']","['has', 'issue', 'after', 'installation', 'think', 'doesn', 'work', 'with', 'tecno', 'common']",0.0,-0.3,0.5,neutral
absiniya banki,BOA Bank,"['absiniya', 'banki']","['absiniya', 'banki']",0.0,0.0,0.0,neutral
goof,BOA Bank,['goof'],['goof'],0.0,0.0,0.0,neutral
great 👍,BOA Bank,[],['great'],0.6249,0.8,0.75,positive
በጣም ሐሪፍ,BOA Bank,['ሐሪፍ'],['ሐሪፍ'],0.0,0.0,0.0,neutral
tamaam kamal,BOA Bank,"['tamaam', 'kamal']","['tamaam', 'kamal']",0.0,0.0,0.0,neutral
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,BOA Bank,"['عليكم', 'ورحمة', 'الله', 'وبركاته', 'ماشاء', 'الله', 'تبارك', 'الرحمن', 'هذا', 'التطبيق', 'ممتاز', 'جدا']","['السلام', 'عليكم', 'ورحمة', 'الله', 'وبركاته', 'ماشاء', 'الله', 'تبارك', 'الرحمن', 'هذا', 'التطبيق', 'ممتاز', 'جدا']",0.0,0.0,0.0,neutral
Best banking transaction application in Ethiopia !,BOA Bank,"['banking', 'transaction', 'ethiopia']","['best', 'banking', 'transaction', 'ethiopia']",0.6696,1.0,0.3,positive
Very Good,BOA Bank,[],['good'],0.4927,0.9099999999999999,0.7800000000000001,positive
please open my mobile app,BOA Bank,['please'],"['please', 'open', 'mobile']",0.3182,0.0,0.5,positive
it doesn't open,BOA Bank,[],"['doesn', 'open']",0.0,0.0,0.5,neutral
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,BOA Bank,"['transaction', 'limit', 'boa', 'activation', 'stage', 'smsng', 'phone']","['its', 'nice', 'especially', 'transaction', 'limit', 'extended', 'face', 'boa', 'banking', 'doesn', 'respond', 'activation', 'stage', 'strictly', 'smsng', 'mobile', 'phone', 'please', 'try', 'make', 'safe']",0.8271,0.3666666666666667,0.8333333333333334,positive
zedo,BOA Bank,['zedo'],['zedo'],0.0,0.0,0.0,neutral
very good app i ever used,BOA Bank,[],"['good', 'ever', 'used']",0.4927,0.9099999999999999,0.7800000000000001,positive
good,BOA Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
good,BOA Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
none,BOA Bank,['none'],['none'],0.0,0.0,0.0,neutral
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,BOA Bank,"['ios', 'works', 'while', 'please', 'issue', 'bank', 'abyssinia']","['ios', 'perfect', 'android', 'barley', 'works', 'don', 'transfer', 'after', 'while', 'crushed', 'totally', 'stopped', 'working', 'please', 'fix', 'issue', 'beloved', 'bank', 'abyssinia']",0.5656,0.4,0.7125,positive
"need alot of connection, chooses device, very lug even when there is connection",BOA Bank,"['need', 'alot', 'connection', 'device', 'connection']","['need', 'alot', 'connection', 'chooses', 'device', 'lug', 'even', 'when', 'there', 'connection']",0.0,0.2,0.3,neutral
😎,BOA Bank,[],[],0.0,0.0,0.0,neutral
very good,BOA Bank,[],['good'],0.4927,0.9099999999999999,0.7800000000000001,positive
mobile banking,BOA Bank,"['mobile', 'banking']","['mobile', 'banking']",0.0,0.0,0.0,neutral
Great,BOA Bank,['great'],['great'],0.6249,0.8,0.75,positive
"Nothing has been improved, it doesn't work like the previous version.",BOA Bank,"['nothing', 'version']","['nothing', 'has', 'been', 'improved', 'doesn', 'work', 'like', 'previous', 'version']",-0.5667,-0.16666666666666666,0.16666666666666666,negative
I love this bank the best experience ever.,BOA Bank,"['bank', 'experience']","['love', 'bank', 'best', 'experience', 'ever']",0.8555,0.75,0.44999999999999996,positive
jaajja,BOA Bank,['jaajja'],['jaajja'],0.0,0.0,0.0,neutral
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",BOA Bank,"['bank', 'apps', 'ethiopia', 'phone', 'number', 'boa', 'account', 'address', 'phone', 'ethio', 'phone', 'number', 'fear', 'phone', 'device', 'code', 'ethio', 'number', 'bank', 'diaspora', 'community', 'apps']","['most', 'bank', 'apps', 'ethiopia', 'linked', 'with', 'ethiopian', 'phone', 'number', 'live', 'permanently', 'when', 'open', 'boa', 'account', 'told', 'them', 'where', 'live', 'link', 'with', 'email', 'address', 'instead', 'phone', 'ethio', 'phone', 'number', 'not', 'working', 'where', 'live', 'unfortunetly', 'fear', 'appeared', 'now', 'when', 'change', 'phone', 'device', 'send', 'code', 'ethio', 'number', 'which', 'not', 'with', 'now', 'please', 'when', 'develop', 'bank', 'apps', 'consider', 'diaspora', 'community', 'use', 'apps']",0.1757,0.18181818181818182,0.5,positive
I can't type my otp on it.,BOA Bank,['otp'],"['can', 'type', 'otp']",0.0,0.0,0.0,neutral
Like,BOA Bank,[],['like'],0.3612,0.0,0.0,positive
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",BOA Bank,"['name', 'person', 'money', 'receipt', 'people', 'amount', 'banks', 'account', 'name', 'sender']","['does', 'not', 'show', 'name', 'person', 'who', 'sent', 'money', 'request', 'receipt', 'has', 'become', 'difficult', 'for', 'when', 'different', 'people', 'transfer', 'same', 'amount', 'from', 'different', 'banks', 'difficult', 'identify', 'account', 'name', 'sender']",-0.6794,-0.26,0.665,negative
it needs a timely update,BOA Bank,['update'],"['needs', 'timely', 'update']",0.0,0.0,0.0,neutral
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,BOA Bank,"['boa', 'customers', 'money']","['why', 'does', 'keep', 'crashing', 'can', 'even', 'use', 'boa', 'should', 'better', 'have', 'many', 'customers', 'how', 'deal', 'with', 'can', 'send', 'money', 'now']",0.4404,0.5,0.5,positive
♥️♥️,BOA Bank,['♥️♥️'],[],0.0,0.0,0.0,neutral
office branches have to improve their services please,BOA Bank,"['office', 'branches', 'services', 'please']","['office', 'branches', 'have', 'improve', 'their', 'services', 'please']",0.6369,0.0,0.0,positive
from the last week updates the app is not working Please check the problems,BOA Bank,"['week', 'please', 'problems']","['from', 'last', 'week', 'updates', 'not', 'working', 'please', 'check', 'problems']",-0.5664,0.0,0.06666666666666667,negative
It's always crushing,BOA Bank,[],"['always', 'crushing']",-0.3612,0.4,0.9,negative
Best of best,BOA Bank,[],"['best', 'best']",0.8555,1.0,0.3,positive
poor,BOA Bank,[],['poor'],-0.4767,-0.4,0.6,negative
alhamdulilah,BOA Bank,['alhamdulilah'],['alhamdulilah'],0.0,0.0,0.0,neutral
an exceptional banking app.,BOA Bank,['banking'],"['exceptional', 'banking']",0.0,0.6666666666666666,1.0,neutral
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",BOA Bank,"['design', 'bank']","['not', 'suitable', 'lacks', 'good', 'design', 'large', 'bank', 'must', 'update', 'your', 'with', 'professional', 'fast', 'appropriate']",0.4404,0.2398809523809524,0.49642857142857144,positive
hussen hassen umer,BOA Bank,"['hussen', 'hassen', 'umer']","['hussen', 'hassen', 'umer']",0.0,0.0,0.0,neutral
try to easy network,BOA Bank,"['try', 'network']","['try', 'easy', 'network']",0.4404,0.43333333333333335,0.8333333333333334,positive
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,BOA Bank,"['bank', 'sim', 'greedy']","['worst', 'bank', 'ever', 'slow', 'don', 'accept', 'dual', 'sim', 'stupid', 'greedy']",-0.9107,-0.7666666666666666,0.7999999999999999,negative
good for mb appliciation,BOA Bank,['appliciation'],"['good', 'for', 'appliciation']",0.4404,0.7,0.6000000000000001,positive
its good,BOA Bank,[],"['its', 'good']",0.4404,0.7,0.6000000000000001,positive
the worst app in my financial experience.,BOA Bank,['experience'],"['worst', 'financial', 'experience']",-0.6249,-0.5,0.5,negative
The best bank in 🇪🇹,BOA Bank,['bank'],"['best', 'bank']",0.6369,1.0,0.3,positive
telebirr remittance,BOA Bank,"['telebirr', 'remittance']","['telebirr', 'remittance']",0.0,0.0,0.0,neutral
very very lazy app,BOA Bank,[],['lazy'],-0.4716,-0.325,1.0,negative
kiyaa makonn,BOA Bank,"['kiyaa', 'makonn']","['kiyaa', 'makonn']",0.0,0.0,0.0,neutral
this app can't open? what is problem? please solve my problem?,BOA Bank,"['problem', 'please', 'problem']","['can', 'open', 'what', 'problem', 'please', 'solve', 'problem']",-0.4291,0.0,0.5,negative
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",BOA Bank,"['bank', 'address', 'issues', 'problems', 'experiences', 'experience', 'thank']","['kindly', 'request', 'bank', 'abyssinia', 'address', 'issues', 'with', 'its', 'mobile', 'slow', 'has', 'numerous', 'problems', 'frequently', 'experiences', 'downtime', 'user', 'experience', 'also', 'poor', 'thank']",-0.0258,-0.018000000000000016,0.564,neutral
better,BOA Bank,[],['better'],0.4404,0.5,0.5,positive
"the worst app ever,",BOA Bank,[],"['worst', 'ever']",-0.6249,-1.0,1.0,negative
